,music_micro,music_macro,text_micro,text_macro,connection_micro,connection_macro
0,0.5571428571428572,0.5688209238359645,0.5535286530311406,0.4434250035406026,0.3875069098949696,0.4049902971775148
1,0.5238095238095238,0.5422848849263944,0.5616362631288004,0.40102632658768833,0.347705914870094,0.41322844642168716
2,0.5452380952380952,0.5468906949317306,0.5658743320434863,0.41588839425910057,0.3255942509673853,0.35954845974454536
3,0.5523809523809524,0.5526021502974341,0.56255758245808,0.43783966202332575,0.3121429887599042,0.46991652059304767
4,0.5666666666666667,0.5714597884995034,0.5546342362262761,0.43753988924222303,0.2966648240280081,0.3744277357504909
5,0.5428571428571428,0.5611507730721214,0.5620047908605122,0.3986079394165387,0.43246729316381055,0.4332523194963473
6,0.5285714285714286,0.5443150119798531,0.5575824580799705,0.367376064743486,0.33683434678459556,0.4333826409874188
7,0.569047619047619,0.562301566323798,0.552791597567717,0.3612618427161241,0.36189423254099873,0.4031414626797378
8,0.5357142857142857,0.5472141973381387,0.5559240832872674,0.3867131752776006,0.4975124378109453,0.4686144521483695
9,0.5547619047619048,0.5485707351382408,0.5631103740556477,0.42931487298334564,0.35010134512622076,0.4624013464604248
mean,0.5476190476190477,0.5545610726343179,0.5589644370738898,0.4078993170790036,0.3648424543946932,0.42229036814595844
std,0.014443572274383901,0.010002343140155676,0.004379320649501816,0.028211915669417227,0.057409121825335675,0.0363891944706067
